Go.	Idź.
No one wanted to insult these men.	Nikt nie chciał obrazić tych mężczyzn.
Not all the students were present.	Nie wszyscy studenci byli obecni.
Not everything is black and white.	Nie wszystko jest czarno-białe.
One of the main problems was food.	Jednym z głównych problemów była żywność.
Onions can be eaten raw or cooked.	Cebulę można jeść na surowo lub gotowaną.
Our cat's fur has lost its luster.	Sierść naszego kota straciła połysk.
Phoenix is the capital of Arizona.	Phoenix jest stolicą Arizony.
Phoenix is the capital of Arizona.	Stolicą Arizony jest Phoenix.
Pick up the pencil from the floor.	Podnieś ołówek z podłogi.
Place the ladder against the wall.	Oprzyj drabinę o ścianę.
Please don't run in the classroom.	Proszę nie biegać w sali.
Please help yourself to the pizza.	Proszę częstować się pizzą.
Please show me your detailed plan.	Proszę, pokaż mi swój szczegółowy plan.
Please tell me when he'll be back.	Proszę mi dać znać, kiedy on będzie z powrotem.
Please translate this into French.	Mógłbyś przetłumaczyć to na francuski?
President Obama won a second term.	Prezydent Obama wygrał drugą turę.
Put these letters in the mail box.	Włóż te listy do skrzynki pocztowej.
Reading books is very interesting.	Czytanie książek jest bardzo ciekawe.
Rumors of defeat were circulating.	Krążyły pogłoski o porażce.
Salmon is my favorite fish to eat.	Łosoś jest moją ulubioną rybą.
Several apples fell from the tree.	Kilka jabłek spadło z drzewa.
She advised him to take the money.	Poradziła mu wziąć pieniądze.
She backed out at the last moment.	Wycofała się w ostatnim momencie.
She can write a letter in English.	Ona potrafi napisać list po angielsku.
She decided to get married to Tom.	Zdecydowała się wyjść za Toma.
She doesn't know how to play golf.	Ona nie wie jak się gra w golfa.
She doesn't know how to play golf.	Ona nie umie grać w golfa.
She gave me a bag made of leather.	Dała mi torebkę zrobioną ze skóry.
She had the large room to herself.	Ona ma duży pokój dla siebie.
She has been busy since yesterday.	Była zajęta od wczoraj.
She hates fish and never eats any.	Ona nienawidzi ryb, nigdy ich nie je.
She helped me out countless times.	Pomogła mi niezliczoną ilość razy.
She is a clerk in the supermarket.	Ona jest sprzedawczynią w supermarkecie.
She is five years younger than me.	Jest pięć lat młodsza ode mnie.
She is more pretty than beautiful.	Jest bardziej ładna niż piękna.
She is very fond of writing poems.	Ona uwielbia pisać wiersze.
She is very proud of her daughter.	Jest bardzo dumna ze swej córki.
She left the hospital an hour ago.	Godzinę temu wyszła ze szpitala.
She must have been very beautiful.	Musiała być bardzo piękna.
She ordered the book from England.	Zamawia książki z Anglii.
She played the guitar and he sang.	Ona grała na gitarze, a on śpiewał.
She told her son to wait a minute.	Powiedziała synowi, żeby zaczekał na nią minutę.
She visited her husband in prison.	Odwiedziła męża w więzieniu.
She was injured in a car accident.	Została ranna w wypadku samochodowym.
She was the first one to help him.	Była pierwsza do pomocy dla niego.
She went to see him the other day.	Poszła zobaczyć się z nim innego dnia.
She's already forgotten about you.	Ona już o tobie zapomniała.
She's got to get ready for dinner.	Ona musi się przygotować do obiadu.
Show me what you have in your bag.	Pokaż mi, co masz w torbie.
Smoking is forbidden in this area.	Palenie jest zabronione w tym miejscu.
So far, we've done nothing stupid.	Jak dotąd, nie zrobiliśmy nic głupiego.
So tell me what you've been doing.	Więc powiedz mi co robiłeś.
Some of us might be willing to go.	Niektórzy z nas mogą chcieć jechać.
Some people are allergic to wheat.	Niektórzy ludzie mają alergię na pszenicę.
Somehow, you look different today.	Wyglądasz dziś jakoś inaczej.
Something bad was about to happen.	Coś złego miało się zaraz wydarzyć.
Speech is silver, silence is gold.	Mowa jest srebrem, ale milczenie złotem.
Speech is silver, silence is gold.	Mowa jest srebrem, a milczenie złotem.
Taking off is easier than landing.	Łatwiej jest wystartować niż wylądować.
Tallinn is the capital of Estonia.	Tallinn jest stolicą Estonii.
Television is ruining family life.	Telewizja niszczy życie rodzinne.
Tell Tom that I'll be calling him.	Powiedz Tomowi, że zadzwonię do niego.
Tell me what else is on your mind.	Powiedz mi co jeszcze ci chodzi po głowie.
Ten is ten percent of one hundred.	Dziesięć to dziesięć procent ze stu.
Thank you so much for inviting me.	Bardzo dziękuję za zaproszenie.
Thank you so much for inviting me.	Bardzo dziękuję za zaproszenie mnie.
Thank you very much for attending.	Bardzo dziękuję za obecność.
That is not the point in question.	Nie o to chodzi w pytaniu.
That isn't wine. It's grape juice.	To nie jest wino. To sok winogronowy.
That museum turned out to be huge.	Tamto muzeum okazało się ogromne.
That pair of pliers came in handy.	Przydały się te obcęgi.
That question is under discussion.	To pytanie jest poddane pod dyskusję.
That should be pleasing to anyone.	To się powinno spodobać każdemu.
That tribe worships its ancestors.	To plemię czci swoich przodków.
That's exactly what I said to Tom.	Dokładnie to powiedziałem Tomowi.
That's not something Tom would do.	Tom by tego nie zrobił.
That's the reason he became angry.	To jest powód dla którego jest rozgniewany.
That's the reason we got divorced.	To jest powód, dla którego się rozwiedliśmy.
The bad weather delayed the plane.	Zła pogoda opóźniła samolot.
The boy is clinging to his mother.	Chłopiec trzyma się kurczowo swojej matki.
The cause of the fire was unknown.	Przyczyna pożaru była nieznana.
The child came near being drowned.	Dziecko prawie się nie utopiło.
The company cancelled the meeting.	Firma odwołała spotkanie.
The couple was walking arm in arm.	Szli pod ramię.
The earth is covered with forests.	Ziemia jest pokryta lasami.
The earth is smaller than the sun.	Ziemia jest mniejsza od Słońca.
The earthquake smashed everything.	Trzęsienie ziemi wszystko zniszczyło.
The family had its dinner at noon.	Rodzina zjadła obiad w południe.
The file cabinet drawers are open.	W szafie na akta szuflady są otwarte.
The fireman soon put the fire out.	Strażacy szybko ugasili ogień.
The governor of Texas was furious.	Gubernator Teksasu był wściekły.
The guests are in the living room.	Goście są w salonie.
The guests are in the living room.	Goście są w dużym pokoju.
The gunman was found to be insane.	Uzbrojonego bandytę uznano za niepoczytalnego.
The gunman was found to be insane.	Strzelec został uznany za niepoczytalnego.
The lake is deepest at this point.	W tym miejscu jezioro jest najgłębsze.
The landscape is unfamiliar to me.	Ten krajobraz nie jest mi znajomy.
The letter is dated April 1, 1987.	List datowany jest na pierwszego kwietnia 1987 roku.
The man was given a life sentence.	Tego człowieka skazano na dożywocie.
The mechanic assembled the engine.	Mechanik zamontował silnik.
The new plan is based on our idea.	Ten nowy plan oparty jest na naszym pomyśle.
The new plan is based on our idea.	Nowy plan bazuje na naszym pomyśle.
The number of tickets was limited.	Liczba biletów była ograniczona.
The origin of the fire is unknown.	Przyczyna pożaru nie jest znana.
The picture is in black and white.	Zdjęcie jest czarno-białe.
The plane landed on my dad's farm.	Samolot wylądował na farmie mojego ojca.
The plane took off exactly at six.	Samolot wzniósł się w powietrze równo o szóstej.
The police have been following me.	Policja mnie śledzi.
The police showed me your picture.	Policja pokazała mi twoje zdjęcie.
The police will put you in prison.	Policja posadzi cię do wzięzienia.
The road is parallel to the river.	Droga jest równoległa do rzeki.
The roof was damaged by the storm.	Dach został uszkodzony podczas burzy.
The room will be painted tomorrow.	Pokój będzie jutro pomalowany.
The soldiers are ready for battle.	Żołnierze są gotowi do walki.
The storm didn't cause any damage.	Burza nie spowodowała żadnych zniszczeń.
The streets are covered with snow.	Ulice są zaśnieżone.
The teacher told us a funny story.	Nauczyciel nam opowiedział zabawną historię.
The telephone is now out of order.	Telefon teraz jest nieczynny.
The thief got away with the money.	Złodziej uciekł z pieniędzmi.
The thought hadn't occurred to me.	To mi nie przyszło na myśl.
The universe is full of mysteries.	Wszechświat jest pełen tajemnic.
The war's been going on for years.	Wojna ciągnie się już wiele lat.
The yen is weaker than the dollar.	Jen jest słabszy od dolara.
The zipper on my jacket got stuck.	Zamek zaciął mi się w kurtce.
The zipper on my jacket got stuck.	Zamek w mojej kurtce się zaciął.
The zipper on my jacket got stuck.	Zaciął mi się zamek w kurtce.
There are 43 prefectures in Japan.	W Japonii są 43 prefektury.
There are a few boats on the lake.	Na jeziorze jest kilka łódek.
There are five apples in this box.	W tym pudełku jest pięć jabłek.
There is a cookie under the table.	Ciastko jest pod stołem.
There is a television in the room.	W pokoju jest telewizor.
There is milk in the refrigerator.	W lodówce jest mleko.
There is no cure for lovesickness.	Nie ma lekarstwa na chorobę z miłości.
There is not a drop of water left.	Nie została już ani kropla wody.
There was an earthquake yesterday.	Wczoraj było trzęsienie ziemi.
There wasn't anybody in the house.	Nie było nikogo w domu.
There's no need to get hysterical.	Nie ma powodu do histerii.
There's not going to be a wedding.	Nie będzie wesela.
There's not much I can do for you.	Niewiele mogę dla ciebie zrobić.
There's nothing new under the sun.	Nic nowego pod słońcem.
There's someone else in the house.	W domu jest ktoś jeszcze.
These facts support my hypothesis.	Te fakty potwierdzają moją hipotezę.
These flowers bloom in the spring.	Te kwiaty rozkwitają na wiosnę.
These flowers have a unique smell.	Te kwiaty mają wyjątkowy zapach.
They all turned and looked at Tom.	Wszyscy się obrócili i popatrzyli na Toma.
They cleared the pavement of snow.	Zgarnęli śnieg z chodnika.
They cleared the pavement of snow.	Odśnieżyli chodnik.
They need to change their mindset.	Muszę zmienić swoje nastawienie.
They pushed him out of the window.	Wypchnęli go przez okno.
They spent the night on the beach.	Spędzili noc na plaży.
They were all dressed in uniforms.	Wszyscy ubrani byli w mundury.
They were treated for hypothermia.	Leczono ich odmrożenia.
This book is mine. Where is yours?	Ta książka jest moja. Gdzie jest twoja?
This box is light enough to carry.	Pudełko jest na tyle lekkie, że można je przenieść.
This chocolate tastes really good.	Ta czekolada bardzo dobrze smakuje.
This didn't just happen overnight.	To się nie stało z dnia na dzień.
This didn't just happen overnight.	Nie doszło do tego z dnia na dzień.
This expedition will be expensive.	Ta ekspedycja będzie kosztowna.
This fact shows that he is honest.	To wskazuje że jest on uczciwy.
This house is leaning to one side.	Ten dom się przechyla na jedną stronę.
This is all that I know about him.	To wszystko, co o nim wiem.
This is the calm before the storm.	To cisza przed burzą.
This is too important to overlook.	Tego nie można przeoczyć, to zbyt ważne.
This isn't what I was looking for.	To nie jest to czego szukałem.
This movie theater has two floors.	To kino ma dwa piętra.
This river is 500 miles in length.	Ta rzeka ma 500 mil długości.
This shot will help numb the pain.	Ten zastrzyk pomoże uśmierzyć ból.
This story is worth reading again.	Warto ponownie przeczytać tę opowieść.
This table is a priceless antique.	Ten stół to bezcenny zabytek.
This table is a priceless antique.	Ten stół to bezcenny antyk.
Those pajamas are too big for you.	Ta piżama jest dla ciebie za duża.
Today my son turns four years old.	Dziś mój syn kończy cztery lata.
Tom allowed Mary to go by herself.	Tom pozwolił Mary iść samej.
Tom and Mary are our best friends.	Tom i Mary są naszymi najlepszymi przyjaciółmi.
Tom asked Mary a lot of questions.	Tom zadał Marii wiele pytań.
Tom asked if anyone had seen Mary.	Tom zapytał, czy ktokolwiek widział Mary.
Tom called to say he's on his way.	Tom zadzwonił, żeby powiedzieć, że jest już w drodze.
Tom can sleep here if he wants to.	Tom może tu spać, jeśli chce.
Tom can't see without his glasses.	Tom nie widzi bez okularów.
Tom can't seem to access his data.	Tom nie może uzyskać dostępu do swoich danych.
Tom caught the ball with one hand.	Tom złapał piłkę jedną ręką.
Tom couldn't catch what Mary said.	Tom nie usłyszał co powiedziała Mary.
Tom couldn't catch what Mary said.	Tom nie dosłyszał co powiedziała Mary.
Tom couldn't lift Mary's suitcase.	Tom nie mógł udźwignąć walizki Mary.
Tom decided to make it up to Mary.	Tom zdecydował pogodzić się z Mary.
Tom definitely would've liked you.	Tom zdecydowanie by cię polubił.
Tom didn't come with us to Boston.	Tom nie przyjechał z nami do Bostonu.
Tom didn't know quite what to say.	Tom nie bardzo wiedział, co powiedzieć.
Tom didn't know when he'd be back.	Tom nie wiedział, kiedy wróci.
Tom didn't know where his pen was.	Tom nie wiedział, gdzie jest jego długopis.
Tom didn't like Mary at that time.	Tom w tamtym momencie nie lubił Mary.
Tom didn't think you'd understand.	Tom uważał, że nie zrozumiesz.
Tom didn't want Mary to come here.	Tom nie chciał, żeby Mary tu przychodziła.
Tom didn't want to embarrass Mary.	Tom nie chciał zawstydzić Mary.
Tom didn't want to impose on Mary.	Tom nie chciał narzucać się Mary.
Tom discussed his plans with Mary.	Tom przedyskutował z Mary swoje plany.
Tom disguised himself as a priest.	Tom przebrał się za księdza.
Tom does only what he wants to do.	Tom robi tylko to, co chce.
Tom doesn't always tell the truth.	Tom nie zawsze mówi prawdę.
Tom doesn't have health insurance.	Tom nie ma ubezpieczenia zdrowotnego.
Tom doesn't share your enthusiasm.	Tom nie podziela twojego entuzjazmu.
Tom doesn't want to eat lunch now.	Tom nie chce teraz jeść lunchu.
Tom doesn't want to sell his farm.	Tom nie chce sprzedać swojej farmy.
Tom eats rice at least once a day.	Tom jada ryż przynajmniej raz dziennie.
Tom fell asleep with the light on.	Tom usnął przy zapalonym świetle.
Tom felt like a fish out of water.	Tom poczuł się jak ryba wyłowiona z wody.
Tom filled the hole with concrete.	Tom wypełnił dziurę betonem.
Tom followed Mary down the stairs.	Tom zszedł za Mary po schodach.
Tom found the article interesting.	Tom stwierdził, że artykuł jest ciekawy.
Tom found what he was looking for.	Tom znalazł, czego szukał.
Tom gained weight over the winter.	Tom przybrał na wadze przez zimę.
Tom got these tickets for nothing.	Tom dostał te bilety za darmo.
Tom had no intention of giving up.	Tom nie zamierzał się poddawać.
Tom has a bruise on his right leg.	Tom ma siniaka na prawej nodze.
Tom has a daughter about your age.	Tom ma córkę mniej więcej w twoim wieku.
Tom has accumulated a lot of junk.	Tom zgromadził mnóstwo śmieci.
Tom has been sending Mary flowers.	Tom wysyłał Mary kwiaty.
Tom has decided to move to Boston.	Tom zdecydował się przeprowadzić do Bostonu.
Tom has just started kindergarten.	Tom dopiero zaczął chodzić do przedszkola.
Tom has more experience than I do.	Tom ma większe doświadczenie ode mnie.
Tom has noticed something strange.	Tom zauważył coś dziwnego.
Tom has shown he can't be trusted.	Tom pokazał, że nie można mu ufać.
Tom hasn't spoken French in years.	Tom nie mówił po francusku od lat.
Tom heard Mary was a good teacher.	Tom słyszał, że Mary była dobrą nauczycielką.
Tom held Mary tightly in his arms.	Tom trzymał Mary ciasno w swoich ramionach.
Tom held a knife to Mary's throat.	Tom przyłożył Mary nóż do gardła.
Tom hopes Mary will get well soon.	Tom ma nadzieję, że Mary wkrótce poczuje się lepiej.
Tom hopes that Mary will help him.	Tom ma nadzieję, że Mary mu pomoże.
Tom ignored most of Mary's advice.	Tom zignorował większość porad Mary.
Tom is a better swimmer than Mary.	Tom pływa lepiej niż Mary.
Tom is being hunted by the police.	Tom jest ścigany przez policję.
Tom is coming to my house tonight.	Tom przychodzi do mnie dziś wieczorem.
Tom is embarrassed by what he did.	Tom się wstydzi tego co zrobił.
Tom is fully aware of the problem.	Tom w pełni zdaje sobie sprawę z problemu.
Tom is going to go back to Boston.	Tom zamierza wrócić do Bostonu.
Tom is happy when he is with Mary.	Tom jest szczęśliwy, kiedy jest z Mary.
Tom is in his office on the phone.	Tom rozmawia przez telefon w swoim biurze.
Tom is painting the house himself.	Tom maluje dom samemu.
Tom is playing catch with his son.	Tom gra w piłkę ze swoim synem.
Tom is sick, but it isn't serious.	Tom jest chory, ale to nic poważnego.
Tom is suffering from a toothache.	Tom cierpi na ból zęba.
Tom kissed the tip of Mary's nose.	Tom pocałował czubek nosa Mary.
Tom knew this was going to happen.	Tom wiedział, że to się stanie.
Tom knows a man who speaks French.	Tom zna mężczyznę, który mówi po francusku.
Tom knows exactly what Mary wants.	Tom wie, co Mary chce.
Tom knows he should do that today.	Tom wie, że powinien to zrobić dziś.
Tom knows he should do that today.	Tom wie, że powinien to dziś zrobić.
Tom left a large tip on the table.	Tom zostawił na stoliku spory napiwek.
Tom lived in Boston before, right?	Tom mieszkał wcześniej w Bostonie, prawda?
Tom locked himself in his bedroom.	Tom zamknął się w swojej sypialni.
Tom may not even be in Boston now.	Tom może nawet teraz nie być w Bostonie.
Tom might've been able to do that.	Tom prawdopodobnie byłby w stanie to zrobić.
Tom mouthed the words "thank you."	Tom wyszeptał słowo "dziękuję".
Tom often drives his father's car.	Tom często prowadzi samochód swojego ojca.
Tom opened the door to his office.	Tom otworzył drzwi do swojego gabinetu.
Tom picked an apple from the tree.	Tom zerwał jabłko z drzewa.
Tom pretended he was still asleep.	Tomek udawał, że jeszcze śpi.
Tom pretended to be thinking hard.	Tom udawał zamyślonego.
Tom pretended to not hear a thing.	Tom udawał, że nic nie słyszy.
Tom put his backpack on the table.	Tom położył swój plecak na stole.
Tom returned to the witness stand.	Tom wrócił na miejsce dla świadka.
Tom said he would do his homework.	Tom powiedział, że odrobi zadanie domowe.
Tom said more than he should have.	Tom powiedział więcej, niż powinien.
Tom said that he'd call you later.	Tom powiedział, że zadzwoni do ciebie później.
Tom said we needed to keep trying.	Tom powiedział, że musimy dalej próbować.
Tom saw something in the distance.	Tom zobaczył coś w oddali.
Tom says I shouldn't speak French.	Tom mówi, że nie powinienem mówić po francusku.
Tom says he has no concrete plans.	Tom mówi, że nie ma konretnych planów.
Tom seemed to be having a bad day.	Tom wydawał się mieć zły dzień.
Tom seems awfully sad, doesn't he?	Tom zdaje się być okropnie smutny, nieprawda?
Tom should've asked Mary for help.	Tom powinien był poprosić Mary o pomoc.
Tom shouldn't have let Mary drive.	Tom nie powinien był pozwolić Mary jechać.
Tom sincerely believes that story.	Tom szczerze wierzy w tę historię.
Tom spends a lot of time studying.	Tom spędza dużo czasu na nauce.
Tom started packing his things up.	Tom zaczął pakować swoje rzeczy.
Tom thinks Mary is a little weird.	Tom uważa, że Mary jest nieco dziwna.
Tom told Mary he wanted a divorce.	Tom powiedział Mary, że chce rozwodu.
Tom told me that Mary was thirsty.	Tom powiedział mi, że Mary jest spragniona.
Tom told me that Mary was thirsty.	Tom powiedział mi, że Mary chce się pić.
Tom told me that he likes to swim.	Tom powiedział mi, że lubi pływać.
Tom told me that he's very hungry.	Tom powiedział mi, że jest bardzo głodny.
Tom told me to tell you he's fine.	Tom kazał ci powiedzieć, że dobrze się czuje.
Tom told me you needed some money.	Tom powiedział mi, że potrzebujesz trochę pieniędzy.
Tom told me you were dissatisfied.	Tom powiedział mi, że jesteś niezadowolony.
Tom wanted Mary to come to Boston.	Tom chciał, żeby Mary przyjechała do Bostonu.
Tom wanted Mary to return his pen.	Tom chciał, by Mary oddała mu jego pióro.
Tom wanted to ask Mary a question.	Tom chciał zadać Mary pytanie.
Tom wanted to get married to Mary.	Tom chciał się ożenić z Mary.
Tom wants me to go back to Boston.	Tom chce, żebym wrócił do Bostonu.
Tom wants to say something to you.	Tom chce ci coś powiedzieć.
Tom was a witness to the accident.	Tom był świadkiem wypadku.
Tom was given a blood transfusion.	Tom został poddany transfuzji krwi.
Tom was in prison for three years.	Tom siedział trzy lata w więzieniu.
Tom was in the center of the room.	Tom znalazł się na środku pokoju.
Tom was sick, so he couldn't come.	Tom był chory, więc nie mógł przyjść.
Tom was the first one to get here.	Tom był na miejscu pierwszy.
Tom was the first one to get here.	Tom dotarł tu pierwszy.
Tom wasn't interested in baseball.	Tom nie był zainteresowany bejzbolem.
Tom went into the conference room.	Tom wszedł do pokoju konferencyjnego.
Tom went to the park with his dog.	Tom poszedł z psem do parku.
Tom will do what I tell him to do.	Tom zrobi, co mu powiem.
Tom's career spanned 1993 to 2013.	Kariera Toma trwała od 1993 do 2013 roku.
Tom's daughter is three years old.	Córka Toma ma trzy lata.
Tom's only pretending to be drunk.	Tom tylko udaje pijanego.
Tom's only pretending to be drunk.	Tom tylko udaje, że jest pijany.
Tomorrow's going to be a busy day.	Szykuje się jutro zajęty dzień.
Training for a marathon is taxing.	Trening do maratonu jest wyczerpujący.
Unfortunately, that rumor is true.	Niestety, ta plotka jest prawdziwa.
Unfortunately, the report is true.	Niestety, raport jest prawdziwy.
Wait for me in front of the house.	Zaczekaj na mnie przed domem.
We arrived at the station at five.	Przyjechaliśmy na stację o piątej.
We can't change what has happened.	Nie możemy zmienić tego, co się wydarzyło.
We could go kayaking next weekend.	Moglibyśmy wybrać się na kajaki w przyszły weekend.
We have a very small, plain house.	Mamy zwykły, bardzo mały dom.
We have to return to the ship now.	Musimy teraz wrócić na statek.
We have two daughters and one son.	Mamy dwie córki i syna.
We left home early in the morning.	Wyszliśmy do domu wcześnie rano.
We lost almost all our away games.	Przegraliśmy prawie wszystkie wyjazdowe mecze.
We must abolish the death penalty.	Musimy znieść karę śmierci.
We must ask the bank for the loan.	Musimy poprosić bank o pożyczkę.
We must think about the community.	Musimy myśleć o społeczności.
We need to burn all these letters.	Musimy spalić wszystkie te listy.
We need to tell Tom what happened.	Musimy powiedzieć Tomowi, co się stało.
We never had any problems with it.	Nigdy nie mieliśmy z tym problemów.
We ran all the way to the station.	Biegliśmy całą drogę do stacji.
We saw a mountain in the distance.	Zobaczyliśmy górę w pewnej odległości.
We shared the profit among us all.	Podzieliliśmy wszyscy profity między siebie.
We should tell Tom we're too busy.	Powinniśmy powiedzieć Tomowi, że jesteśmy zbyt zajęci.
We watch television every evening.	Każdego wieczoru oglądamy telewizję.
We were startled by the explosion.	Byliśmy zaskoczeni wybuchem.
We'll call back in thirty minutes.	Oddzwonimy za pół godziny.
We're getting married next spring.	Pobieramy się wiosną.
We're going to the movies tonight.	Idziemy dziś wieczorem do kina.
We're looking for a place to stay.	Szukamy miejsca, żeby się zatrzymać.
We're sorry for the inconvenience.	Przepraszamy za niedogodności.
We've come to get you out of here.	Przyszliśmy cię stąd wypuścić.
Were you expecting something else?	Oczekiwałeś czegoś innego?
What are we going to do about Tom?	Co zrobimy z Tomem?
What countries border on Slovenia?	Jakie kraje graniczą ze Słowenią?
What did Tom throw into the water?	Co Tom wrzucił do wody?
What did you eat in the afternoon?	Co jadłeś po południu?
What do you think of this red hat?	Co sądzisz o tym czerwonym kapeluszu?
What do you think of this sweater?	Co myślisz o tym swetrze?
What do you want to know about me?	Co chcesz o mnie wiedzieć?
What do you want to know about us?	Co chcesz o nas wiedzieć?
What happened? Why are you crying?	Co się stało? Dlaczego płaczesz?
What movies are playing this week?	Jakie filmy lecą w tym tygodniu?
What you're doing is unforgivable.	To, co robisz, jest niewybaczalne.
What's the best sleeping position?	Jaka jest najlepsza pozycja do spania?
What's your favorite Disney movie?	Jaki jest twój ulubiony film Disneya?
What's your favorite energy drink?	Jaki jest twój ulubiony energetyk?
When are you going to finish this?	Kiedy zamierzasz to skończyć?
When did Tom have time to do that?	Kiedy Tom miał czas to zrobić?
When did it first start to happen?	Kiedy wydarzyło się to po raz pierwszy?
When did it first start to happen?	Kiedy zaczęło się to dziać?
When did it first start to happen?	Od kiedy tak się dzieje?
When did you start studying Latin?	Od kiedy uczysz się łaciny?
Where did you put the screwdriver?	Gdzie położyłeś śrubokręt?
Where did you spend your holidays?	Gdzie spędziłeś wakacje?
Where did you spend your holidays?	Gdzie spędziłaś urlop?
Where did you spend your holidays?	Gdzie spędziliście urlop?
Where did you spend your holidays?	Gdzie spędziłyście wakacje?
Where did you spend your vacation?	Gdzie spędziłeś swoje wakacje?
Where do you spend your free time?	Gdzie spędzasz swój wolny czas?
Where have you been all afternoon?	Gdzie byłeś całe popołudnie?
Where's the closest train station?	Gdzie jest najbliższa stacja kolejowa?
Where's the nearest shopping mall?	Gdzie jest najbliższe centrum handlowe?
Which is larger, Japan or England?	Co jest większe, Japonia czy Anglia?
Who does the cooking in your home?	Kto gotuje w twoim domu?
Who does the cooking in your home?	Kto się zajmuje gotowaniem w twoim domu?
Who runs the fastest of the three?	Kto biega najszybciej z tej trójki?
Who told you that Tom kissed Mary?	Kto ci powiedział, że Tom pocałował Mary?
Who wrote that song you just sang?	Kto napisał tę piosenkę, którą właśnie zaśpiewałaś?
Why are you so quick to blame Tom?	Dlaczego tak prędko oskarżasz Toma?
Why didn't I think of that before?	Dlaczego wcześniej o tym nie pomyślałem?
Why didn't you buy a Japanese car?	Dlaczego nie kupiłeś japońskiego samochodu?
Why didn't you come to my wedding?	Dlaczego nie przyszedłeś na moje wesele?
Why do you want to become a nurse?	Dlaczego chcesz zostać pielęgniarką?
Why doesn't Tom have a girlfriend?	Czemu Tom nie ma dziewczyny?
Why don't you talk to me about it?	Czemu ze mną o tym nie porozmawiasz?
Why don't you update your website?	Czemu nie uaktualnisz swojej strony internetowej?
Why haven't you cleaned your room?	Dlaczego nie posprzątałeś swojego pokoju?
Why is it important to save money?	Dlaczego jest ważne oszczędzanie pieniędzy?
Why is it that you're always late?	Dlaczego zawsze się spóźniasz?
Why weren't you with us yesterday?	Dlaczego nie byliście z nami wczoraj?
Why will you not listen to reason?	Dlaczego nie posłuchasz głosu rozsądku?
Will you help me with my homework?	Pomożesz mi w pracy domowej?
Words can't express our gratitude.	Słowa nie mogą wyrazić naszej wdzięczności.
Work doesn't always begin at nine.	Praca nie zawsze zaczyna się o 9.
Would you ask Tom to talk to Mary?	Mógłbyś poprosić Toma, żeby porozmawiał z Mary?
Would you hand me the screwdriver?	Mógłbyś podać mi śrubokręt?
Would you lend me your dictionary?	Pożyczyłbyś mi swój słownik?
Would you like some scrambled egg?	Masz ochotę na trochę jajecznicy?
Would you like something to drink?	Chcesz coś do picia?
Would you like to leave a message?	Chce pan zostawić wiadomość?
Would you like to leave a message?	Chcesz zostawić wiadomość?
Would you please close the window?	Mógłbyś zamknąć okno?
You are expected to pass the exam.	Oczekiwane jest, że zdasz egzamin.
You are expecting too much of her.	Zbyt wiele oczekujesz od niej.
You are from Hokkaido, aren't you?	Pan pochodzi z Hokkaido, prawda?
You are not able to swim, are you?	Nie umiesz pływać, prawda?
You can't let Tom behave that way.	Nie możesz pozwolić Tomowi zachowywać się w ten sposób.
You didn't tell me this was yours.	Nie powiedziałeś mi, że to twoje.
You don't have to make an apology.	Nie musisz przepraszać.
You don't have to obey such a law.	Nie musisz przestrzegać takiego prawa.
You don't have to say you love me.	Nie musisz mówić, że mnie kochasz.
You don't know what it is, do you?	Nie wiesz co to jest, prawda?
You don't know what to do, do you?	Nie wiesz co zrobić, prawda?
You don't look like a millionaire.	Nie wyglądasz na milionera.
You get more beautiful every year.	Z każdym rokiem stajesz się coraz piękniejsza.
You have no right to throw me out.	Nie masz prawa mnie wyrzucić.
You just have to trust each other.	Musicie tylko ufać sobie wzajemnie.
You may choose whichever you like.	Wybierz którykolwiek ci się podoba.
You may choose whichever you want.	Możesz wybrać którykolwiek zechcesz.
You may not have heard about this.	Mogłeś o tym nie słyszeć.
You may not smoke in the elevator.	Nie wolno palić w windzie.
You might have left it in the car.	Może zostawiłeś to w samochodzie.
You might have left it in the car.	Może zostawiłaś to w samochodzie.
You might have left it in the car.	Może zostawiliście to w samochodzie.
You might have left it in the car.	Może zostawiłyście to w samochodzie.
You must be polite to your elders.	Trzeba być uprzejmym wobec starszych.
You must do your homework at once.	Musisz natychmiast odrobić swoje zadanie.
You must learn from your mistakes.	Ucz się na własnych błędach.
You need to respect Tom's privacy.	Musisz szanować prywatność Toma.
You promised me you'd talk to Tom.	Obiecałeś mi, że porozmawiasz z Tomem.
You really didn't have to do that.	Naprawdę nie musiałaś tego robić.
You should have warned him before.	Powinieneś ostrzec go wcześniej.
You should tell Tom to be careful.	Powinieneś powiedzieć Tomowi, żeby był ostrożny.
You were never in any real danger.	Nigdy nie byłeś w prawdziwym zagrożeniu.
You're as beautiful as I remember.	Jesteś piękna, tak jak ciebie pamiętam.
You're the shortest person I know.	Jesteś najniższą osobą, jaką znam.
You're very religious, aren't you?	Jesteś bardzo religijny, prawda?
You're very religious, aren't you?	Jesteście bardzo religijni, prawda?
You've got to answer the question.	Masz odpowiedzieć na pytanie.
You've put on weight, haven't you?	Przytyłeś, co nie?
Your comic books are on the shelf.	Twoje komiksy są na półce.
Your driver's license has expired.	Twoje prawo jazdy wygasło.
"What time is it now?" "It's 3:30."	"Która jest teraz godzina?" "Jest 3:30."
A "shiitake" is a kind of mushroom.	"Shiitake" jest rodzajem grzyba.
A lot of boys ran after the rabbit.	Wielu chłopców goniło królika.
